a1,a2,a3,g1,g2,g3,LABEL
6288,-14948,-3664,-384,-335,207,HEALTHY
6160,-14948,-3824,-354,-341,206,HEALTHY
6116,-15048,-3884,-307,-311,208,HEALTHY
6136,-15020,-3708,-270,-326,224,HEALTHY
6040,-15056,-3724,-295,-338,234,HEALTHY
6120,-15168,-3696,-265,-385,241,HEALTHY
6268,-14920,-3724,-269,-420,202,HEALTHY
6336,-15112,-3780,-276,-435,181,HEALTHY
6244,-15004,-3628,-221,-448,98,HEALTHY
6164,-14960,-3760,-216,-475,92,HEALTHY
6156,-15144,-3660,-95,-375,116,HEALTHY
6328,-15092,-3592,-147,-401,139,HEALTHY
6188,-15124,-3524,-277,-415,190,HEALTHY
6244,-15116,-3544,-304,-355,212,HEALTHY
6240,-15064,-3692,-166,-371,138,HEALTHY
6392,-14764,-3680,-352,-245,232,HEALTHY
6412,-14992,-3776,-396,-258,249,HEALTHY
6420,-15092,-3760,-231,-202,233,HEALTHY
6396,-15056,-3624,-282,-257,184,HEALTHY
6260,-14972,-3524,-401,-218,222,HEALTHY
6204,-15016,-3604,-467,-210,253,HEALTHY
6084,-14992,-3652,-413,-176,267,HEALTHY
6036,-15088,-3632,-336,-192,262,HEALTHY
6092,-14996,-3700,-297,-205,206,HEALTHY
6188,-15068,-3800,-253,-208,243,HEALTHY
6252,-14928,-3528,-329,-187,241,HEALTHY
6276,-14948,-3548,-311,-252,206,HEALTHY
6156,-15008,-3820,-249,-301,112,HEALTHY
6264,-14924,-3576,-280,-251,169,HEALTHY
6164,-15100,-3644,-342,-283,243,HEALTHY
6160,-15200,-3604,-393,-269,226,HEALTHY
6300,-15136,-3444,-357,-243,211,HEALTHY
6296,-15064,-3504,-386,-216,190,HEALTHY
6272,-14920,-3640,-398,-245,214,HEALTHY
6144,-14948,-3624,-396,-258,239,HEALTHY
6204,-14920,-3720,-327,-258,269,HEALTHY
6196,-15012,-3544,-325,-257,244,HEALTHY
6212,-15172,-3584,-336,-340,206,HEALTHY
6144,-15048,-3588,-319,-354,163,HEALTHY
6176,-15024,-3676,-294,-342,162,HEALTHY
6228,-15068,-3668,-322,-311,199,HEALTHY
6220,-15040,-3720,-328,-262,229,HEALTHY
6396,-15016,-3664,-321,-253,188,HEALTHY
6256,-14976,-3772,-296,-288,163,HEALTHY
6188,-15008,-3628,-239,-242,162,HEALTHY
6232,-14992,-3492,-304,-251,185,HEALTHY
6168,-15108,-3640,-319,-314,207,HEALTHY
6140,-14988,-3496,-371,-240,239,HEALTHY
6148,-15132,-3572,-406,-272,205,HEALTHY
6252,-15036,-3680,-414,-329,201,HEALTHY
6360,-14980,-3572,-345,-292,232,HEALTHY
6268,-14916,-3788,-382,-232,290,HEALTHY
6408,-14980,-3728,-328,-324,262,HEALTHY
6352,-15084,-3596,-277,-360,141,HEALTHY
6196,-14972,-3680,-285,-367,125,HEALTHY
6100,-14968,-3660,-361,-379,195,HEALTHY
6124,-15060,-3448,-341,-331,216,HEALTHY
6060,-15132,-3608,-253,-313,221,HEALTHY
6024,-15020,-3824,-211,-342,125,HEALTHY
6292,-14964,-3700,-186,-319,114,HEALTHY
6392,-15096,-3652,-222,-272,148,HEALTHY
6348,-14988,-3768,-289,-336,189,HEALTHY
6344,-15196,-3596,-281,-368,152,HEALTHY
6136,-15052,-3600,-255,-280,159,HEALTHY
6140,-15000,-3644,-321,-288,170,HEALTHY
6380,-15076,-3548,-343,-237,221,HEALTHY
6212,-15164,-3728,-357,-239,218,HEALTHY
6208,-15004,-3396,-401,-219,172,HEALTHY
6288,-15024,-3700,-423,-254,188,HEALTHY
6124,-15000,-3700,-358,-271,190,HEALTHY
6160,-14904,-3612,-346,-303,234,HEALTHY
6132,-14964,-3612,-336,-308,294,HEALTHY
6252,-15092,-3620,-295,-312,230,HEALTHY
6156,-15064,-3404,-328,-380,177,HEALTHY
6160,-15052,-3724,-275,-411,160,HEALTHY
6164,-15032,-3708,-252,-376,153,HEALTHY
6332,-14984,-3700,-272,-351,159,HEALTHY
6304,-15072,-3536,-234,-279,196,HEALTHY
6360,-15132,-3496,-304,-257,209,HEALTHY
6244,-15116,-3540,-319,-279,210,HEALTHY
